age,Valore Reale,Valore Predetto,club_name,player_name,position,club_involved_name,season
22.0,0.5,2.2410333,Fortuna Düsseldorf,Mathis Bolly,Left Winger,Lillestrøm,2012/2013
25.0,2.5,4.230068,ACF Fiorentina,Maximiliano Olivera,Left-Back,Peñarol,2017/2018
23.0,0.2,2.428219,Krylya Sovetov Samara,Maksim Karpov,Centre-Back,Zenit 2 S-Pb,2018/2019
21.0,34.0,12.099643,SL Benfica,Darwin Núñez,Centre-Forward,UD Almería,2020/2021
21.0,0.093,3.6512825,Parma Calcio 1913,Walid Cheddira,Centre-Forward,Sangiustese,2019/2020
22.0,8.25,12.258839,Inter Milan,Gianluca Caprari,Second Striker,Pescara,2016/2017
21.0,10.0,8.913617,SSC Napoli,Khvicha Kvaratskhelia,Left Winger,Dinamo Batumi,2022/2023
25.0,1.5,2.9743526,FC Crotone,Jacopo Petriccione,Defensive Midfield,Lecce,2020/2021
33.0,14.0,15.365687,Arsenal FC,Petr Cech,Goalkeeper,Chelsea,2015/2016
23.0,45.0,15.287361,Wolverhampton Wanderers,Matheus Nunes,Central Midfield,Sporting CP,2022/2023
22.0,0.6,5.377207,SL Benfica,Chiquinho,Attacking Midfield,Coimbra,2018/2019
21.0,3.0,1.9234909,Torino FC,Josef Martínez,Centre-Forward,BSC Young Boys,2014/2015
21.0,40.0,8.422597,Valencia CF,Gonçalo Guedes,Left Winger,Paris SG,2018/2019
26.0,8.5,5.5700665,Hull City,Shane Long,Centre-Forward,West Brom,2013/2014
25.0,62.5,26.1719,Liverpool FC,Alisson,Goalkeeper,AS Roma,2018/2019
18.0,0.068,2.8264325,Queens Park Rangers,Ryan Manning,Left-Back,Galway United,2014/2015
26.0,0.3,2.3726904,FK Khimki,Cristian Tassano,Centre-Back,Santa Clara,2022/2023
22.0,2.0,3.0346744,SM Caen,Alexander Djiku,Centre-Back,SC Bastia,2017/2018
18.0,5.0,15.045939,Real Madrid,Jesús Vallejo,Centre-Back,Real Zaragoza,2015/2016
31.0,7.0,6.739739,Leicester City,Gökhan Inler,Defensive Midfield,SSC Napoli,2015/2016
19.0,1.0,12.820525,FC Barcelona,Jean-Clair Todibo,Centre-Back,Toulouse,2018/2019
27.0,0.8,4.726599,ACF Fiorentina,Mounir El Hamdaoui,Centre-Forward,Ajax U21,2012/2013
22.0,4.0,4.6467185,Venezia FC,Michaël Cuisance,Central Midfield,Bayern Munich,2021/2022
19.0,2.0,7.061639,Juventus FC,Matheus Pereira,Central Midfield,Empoli,2017/2018
23.0,1.5,4.3022146,Montpellier HSC,Gaëtan Charbonnier,Centre-Forward,Angers SCO,2012/2013
28.0,39.25,30.070118,Bayern Munich,Arturo Vidal,Central Midfield,Juventus,2015/2016
28.0,1.95,6.2621226,Torino FC,Ricardo Rodríguez,Centre-Back,AC Milan,2020/2021
22.0,2.0,2.5084012,Cádiz CF,Tomás Alarcón,Defensive Midfield,O'Higgins,2021/2022
21.0,5.25,7.8233657,AC Milan,Alexis Saelemaekers,Right Winger,RSC Anderlecht,2020/2021
23.0,10.0,7.005202,Borussia Mönchengladbach,Álvaro Domínguez,Centre-Back,Atlético Madrid,2012/2013
23.0,4.0,2.9202783,Hertha BSC,Omar Alderete,Centre-Back,FC Basel,2020/2021
24.0,12.0,5.1944814,Zenit St. Petersburg,Claudinho,Attacking Midfield,RB Bragantino,2021/2022
26.0,8.0,3.8013632,Zenit St. Petersburg,Cristian Ansaldi,Left-Back,Rubin Kazan,2013/2014
26.0,0.5,2.2396314,SV Darmstadt 98,Mario Vrancic,Central Midfield,SC Paderborn,2015/2016
24.0,30.0,18.101387,AS Monaco,Gelson Martins,Right Winger,Atlético Madrid,2019/2020
18.0,9.8,8.711833,Wolverhampton Wanderers,Ki-Jana Hoever,Right-Back,Liverpool U23,2020/2021
21.0,11.0,5.5619755,Olympique Lyon,Amin Sarr,Centre-Forward,Heerenveen,2022/2023
19.0,1.5,2.9884055,CSKA Moscow,Igor Diveev,Centre-Back,Ufa,2019/2020
21.0,2.25,6.4305553,Atalanta BC,Marco Varnier,Centre-Back,Cittadella,2019/2020
28.0,3.5,4.2306757,Real Betis Balompié,Sergio León,Centre-Forward,CA Osasuna,2017/2018
28.0,2.2,4.1927023,Montpellier HSC,Giovanni Sio,Centre-Forward,Stade Rennais,2017/2018
19.0,0.76,0.10704071,Juventus FC,Nazzareno Belfasti,Left-Back,Modena,2013/2014
23.0,2.75,6.577795,Crystal Palace,Jaroslaw Jach,Centre-Back,Zaglebie Lubin,2017/2018
31.0,30.0,11.461804,Newcastle United,Kieran Trippier,Right-Back,Atlético Madrid,2021/2022
27.0,6.2,9.203611,Newcastle United,Mathieu Debuchy,Right-Back,LOSC Lille,2012/2013
27.0,0.35,1.8546289,Akhmat Grozny,Milos Satara,Centre-Back,Soligorsk,2022/2023
24.0,0.9,3.0205953,FC Crotone,Federico Ceccherini,Centre-Back,AS Livorno,2016/2017
36.0,2.0,11.550314,AS Monaco,Naldo,Centre-Back,FC Schalke 04,2018/2019
26.0,1.14,6.506421,Crystal Palace,Fraizer Campbell,Centre-Forward,Cardiff,2014/2015
21.0,1.8,2.1143548,Bologna FC 1909,Ádám Nagy,Defensive Midfield,Ferencváros,2016/2017
22.0,7.57,6.048934,Queens Park Rangers,Jordon Mutch,Central Midfield,Cardiff,2014/2015
27.0,2.0,9.989503,Montpellier HSC,Jordan Ferri,Central Midfield,Olympique Lyon,2019/2020
24.0,3.0,2.7685812,TSG 1899 Hoffenheim,Kevin Vogt,Centre-Back,1. FC Köln,2016/2017
24.0,5.0,11.8467245,West Ham United,Diafra Sakho,Centre-Forward,FC Metz,2014/2015
